suite,authoritative_source,n,threshold,success,success_rate
Event re-query,data/archived_nonsemantic_branch_runs_v8.csv,1,0.05,0/1,0.000000
Event re-query,data/archived_nonsemantic_branch_runs_v8.csv,1,0.08,1/1,1.000000
Event re-query,data/archived_nonsemantic_branch_runs_v8.csv,1,0.10,1/1,1.000000
Grounded ablation,data/archived_nonsemantic_branch_runs_v8.csv,8,0.05,0/8,0.000000
Grounded ablation,data/archived_nonsemantic_branch_runs_v8.csv,8,0.08,8/8,1.000000
Grounded ablation,data/archived_nonsemantic_branch_runs_v8.csv,8,0.10,8/8,1.000000
Grounded controller,data/archived_nonsemantic_branch_runs_v8.csv,4,0.05,0/4,0.000000
Grounded controller,data/archived_nonsemantic_branch_runs_v8.csv,4,0.08,4/4,1.000000
Grounded controller,data/archived_nonsemantic_branch_runs_v8.csv,4,0.10,4/4,1.000000
Semantic MPC,data/semantic_mpc_authoritative_runs_v8.csv,18,0.05,3/18,0.166667
Semantic MPC,data/semantic_mpc_authoritative_runs_v8.csv,18,0.08,18/18,1.000000
Semantic MPC,data/semantic_mpc_authoritative_runs_v8.csv,18,0.10,18/18,1.000000
Unmodified ablation,data/archived_nonsemantic_branch_runs_v8.csv,8,0.05,0/8,0.000000
Unmodified ablation,data/archived_nonsemantic_branch_runs_v8.csv,8,0.08,0/8,0.000000
Unmodified ablation,data/archived_nonsemantic_branch_runs_v8.csv,8,0.10,0/8,0.000000
Unmodified controller,data/archived_nonsemantic_branch_runs_v8.csv,4,0.05,0/4,0.000000
Unmodified controller,data/archived_nonsemantic_branch_runs_v8.csv,4,0.08,0/4,0.000000
Unmodified controller,data/archived_nonsemantic_branch_runs_v8.csv,4,0.10,0/4,0.000000
